Name	Address 1	Address 2	City	State	Zip	County	Contact Phone	Hours of Operation	Website	Facebook	Free Range?	Vegetarian/Vegan?	Organic?	Handicap Accessible?	Family-friendly?	Senior Discounts?	Military Discounts?	Family-owned?	Category 1	Category 2	Category 3	Category 4	Category 5	Category 6	Offering 1	Offering 2	Offering 3	Offering 4	Offering 5	Offering 6	Banner Photo	Photo 1	Photo 2	Photo 3	Photo 4	Photo 5	Photo 6
Niagara Falls City Market	Pine Ave. Market Square	between 18th & 19th streets	Niagara Falls	NY	14301	Niagara 	716-754-0798	Mon/Wed/Fri 9am-5pm year round	N/A	https://www.facebook.com/Niagara-Falls-City-Market-1490282974380236/		Yes		Yes	yes				Farmers Market						specialty fruit	specialty vegetables	specialty meat	apples	potatoes	greens	https://i.imgur.com/zB5Ycsd.jpg	https://i.imgur.com/taAE4VY.jpg	https://i.imgur.com/9iZfreo.jpg	https://i.imgur.com/ULzjXsR.jpg	https://i.imgur.com/VWIOZbW.jpg	https://i.imgur.com/Xfz24gN.jpg	https://i.imgur.com/9NnrVpH.jpg
North Tonawanda City Farmers' Market	Robinson Road at Payne Ave.		North Tonawanda	NY	14120	Niagara 	716-695-8541	Tue/Thu/Sat 7am-1pm year round	http://www.northtonawanda.org/Departments/City%20Market.htm			Yes			Yes				Farmers Market						specialty fruit	specialty vegetables	specialty meat	prepared food	flowers	skincare/home products	https://i.imgur.com/kRApM1t.jpg	https://i.imgur.com/wlHP6rG.jpg	https://i.imgur.com/ztd8r9l.jpg				
McCollum Orchards	248 N. Adam Street		Lockport	NY	14094	Niagara 	716-730-0703	Call for hours/appointment	http://www.oldfarmnewlife.com/	https://www.facebook.com/McCollum-Orchards-207955509225478/		Yes			Yes				CSA						specialty vegetables	apples	garlic	greens	herbs	tomatoes	http://1.bp.blogspot.com/-8uFscm6SO5I/UzRb2-aXF0I/AAAAAAAABtE/-CXnJ1OHHR4/s1208/banner%2Bfacebook%2B3-14.JPG	http://1.bp.blogspot.com/-VTtdV6aKKWA/VKcVqy_A_9I/AAAAAAAAAjw/EAsM8iEu71E/s1600/20140623_143144.jpg	https://3.bp.blogspot.com/-Hnr74IXd4xs/VsiCWulCKvI/AAAAAAAAB9k/fYyhxwoKlkk/s1600/CSA%2Bshares.JPG				
Season of Alpacas	5912 Wynkoop Road		Lockport	NY	14094	Niagara 	716-433-1198		http://www.seasonofalpacas.com/						Yes				Gift Shop & Specialty Products						fiber	specialty shop					http://www.seasonofalpacas.com/dwt_dwt/graphics/web_head2.jpg	http://www.seasonofalpacas.com/bios/regan/Regan1.jpg					
LaRose's Farm Market & Garden Center	5759 Ridge Road		Lockport	NY	14094	Niagara	716-433-9352	Open daily 9-6 seasonally	http://larosegardencenter.com/	https://www.facebook.com/LaRoses-Farm-Market-and-Garden-Center-822243431186419/					Yes				Farm Market	Nursery & Plants					flowers	pumpkins/gourds	squash	strawberries	specialty vegetables	specialty fruits	http://larosegardencenter.com/images/Thumbnails/tn_20170916_103508.jpg						
Boka Farms Inc.	6021 Campbell Blvd.		Lockport	NY	14094	Niagara	716-625-9664	Open during spring and summer	N/A	https://www.facebook.com/Boka-Farms-1413002325647734/		Yes			Yes				Farm Market	Nursery & Plants					flowers	nursery plants	specialty shop	pumpkins			https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/10420105_1413008402313793_8449347522477773296_n.jpg?oh=700b2d312e544927ef7fe1fe28ae1080&oe=5AAFA954	https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/13237849_1760178134263483_4164878354419803873_n.jpg?oh=a0000eb9b439e10f771bd8369509e76b&oe=5A622E77					
Eveningside Vineyards	4794 Lower Mountain Road		Lockport	NY	14094	Niagara	716-867-2415	May-Oct. daily 12-6 / Nov.-Apr. Sat.&Sun. 12-6	http://eveningside.com/	https://www.facebook.com/EveningsideWinery/		Yes		Yes	Yes			Yes	Winery	Weddings & Special Events	Gift Shop & Specialty Products				wine	specialty shop					http://eveningside.com/online_store/wp-content/uploads/2013/11/eveningside_logo_color.png	http://eveningside.com/online_store/wp-content/uploads/2013/11/ev-slider-template-960x295.png	http://eveningside.com/online_store/wp-content/uploads/2013/11/ev-slider-template-960x295.png	https://scontent-lga3-1.xx.fbcdn.net/v/t31.0-8/19055543_1662432080452917_8431263833919080295_o.jpg?oh=2856f08bdd403b66fd89b5ad58b485a4&oe=5A9F94A4	https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/418267_383416511687820_1327713066_n.jpg?oh=4bfb1e392170983530d016e5a225a192&oe=5AACADA2	https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/603022_565483603481109_686740250_n.jpg?oh=516d6b87bea3be9285a3cc49f9254c47&oe=5A9A1BBC	https://scontent-lga3-1.xx.fbcdn.net/v/t31.0-8/19055543_1662432080452917_8431263833919080295_o.jpg?oh=2856f08bdd403b66fd89b5ad58b485a4&oe=5A9F94A4
Newroyal Orchards	7577 Slayton Settlement Road		Gasport	NY	14067	Niagara	716-772-2469	Call for hours/appointment	http://newroyalorchards.com/			Yes			Yes			Yes	Farm Market						apples	pears					https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/20729640_10159093200305099_5564682601878032741_n.jpg?oh=d290b442824bcb27c8e8b9399c3204d9&oe=5AA9753C						
Blackman Homestead Farm	4472 Thrall Road		Lockport	NY	14094	Niagara	716-434-7116	Open daily 9-6 seasonally	https://blackmanhomesteadfarm.com/	https://www.facebook.com/blackmanhomesteadfarm/		Yes			Yes			Yes	Farm Market	U-Pick	Gift Shop & Specialty Products				apples	cider/juice	grapes	petting zoo	specialty shop		https://i1.wp.com/blackmanhomesteadfarm.com/wp-content/uploads/2016/06/logo6.jpg?fit=220%2C148&ssl=1	https://i1.wp.com/blackmanhomesteadfarm.com/wp-content/uploads/2017/03/product-photos-079-1.jpg?resize=1180%2C435&ssl=1	https://i2.wp.com/blackmanhomesteadfarm.com/wp-content/uploads/2017/04/cider-227.jpg?resize=1180%2C435&ssl=1				
Niagara Landing Wine Cellars	4434 Van Dusen Road		Lockport	NY	14094	Niagara	716-433-8405	Monday-Sat. 10am-6pm, Sundays 12pm-6pm	http://niagaralanding.com/	https://www.facebook.com/niagara.landing.wine.cellars/		Yes		Yes	Yes		Yes	Yes	Winery	Gift Shop & Specialty Products					wine	specialty shop					http://niagaralanding.com/wp-content/uploads/nl_logo_03.png	http://niagaralanding.com/wp-content/uploads/red-grapes-1140x300.jpg	http://niagaralanding.com/wp-content/uploads/misty-niagara-awards-472x475.jpg				
Librock Beef Farms	5288 Gasport Road		Gasport	NY	14067		716-772-7723	Call ahead	http://www.librockbeef.com/	https://www.facebook.com/Librock-Beef-356668141060191/		No			Yes			Yes	Meat Market						beef						http://www.librockbeef.com/beef_sign_800x584.jpg						
Hartland Abattoir	7625 Ridge Road		Gasport	NY	14067		716-772-7352	Monday-Friday 8am-5pm, Sat. 8am-12pm, Sunday closed	http://www.hartlandabattoir.com/			No			Yes			Yes	Meat Market						beef	pork	poultry				https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/73127_151333211733979_821502494_n.jpg?oh=779b3b0cc73629e16dc8bc007b87face&oe=5A71C732						
Heimiller Greenhouses	3038 Ewings Road		Newfane	NY	14108	Niagara	716-778-0026	Monday-Sat. 9am-5pm, Sunday 10am-4pm seasonally	N/A	https://www.facebook.com/heimiller.greenhouses/					Yes		Yes	Yes	 Nursery & Plants	Gift Shop & Specialty Products					flowers	nusery plants	specialty shop				https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/10399509_161246656874_1563696_n.jpg?oh=7363c9209dfe7a9e604d0473259b043c&oe=5A7F853A	https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/18486059_10154374701851875_5766938790608759493_n.jpg?oh=78b60ada7f90cc0b60a27ec9aa5c673a&oe=5A7785C7					
Hahns Ponds	3779 Lower Mountain Road		Sanborn	NY	14132	Niagara	716-731-5531	April to July. Mon. – Fri. 10 to 6, Sat. 9 to 5, Sun. 10 to 5. August to September: Mon. – Sat. 10 to 5, Sun. Closed. Fall Hours: October. Sat. 10 to 5.	http://hahnsponds.com/	https://www.facebook.com/hahnsponds/					Yes			Yes	Gift Shop & Specialty Products						flowers	nusery plants	specialty shop				https://scontent-lga3-1.xx.fbcdn.net/v/t31.0-8/18671684_1489734561048014_4824914413731849935_o.jpg?oh=9e7a2611d3f75efe43a99f4cfa860a43&oe=5AD19501	https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/12042711_1109033545784786_5531704484071497499_n.jpg?oh=50fb448af9c1a5db73a9cb53aa74211a&oe=5A8D4F0A					
Erways Christmas Tree Adventure	4202 Willow Road		Wilson	NY	14172		716-751-9602	Mon-Fri. 12-8pm. Sat. & Sun. 8am-8pm.	http://www.erwayschristmastreeadventure.com/						Yes			Yes	Christmas Tree Farm	Gift Shop & Specialty Products					christmas trees	petting zoo	specialty shop				https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/527298_270973129686657_131550405_n.jpg?oh=5c90fa94ae76c2450e6e60f139451b31&oe=5A6BDCC9	https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/12376051_845559622228002_6118755549083793411_n.jpg?oh=c695fb233cb1a4afdb1fd2895b8762a0&oe=5AAC7190	http://www.erwayschristmastreeadventure.com/trees/wagon2.jpg				
